Time,Side,Sub-wallet,Type,Asset,Average,Filled,Fees,Realized Profit,Volume
 , , , ,, ,, , , 
2024-03-0705:56:37,Buy,USDT Wallet,Market,JUP,0.6855,2589.0,1.07 ,0.00 ,1774.75 
2024-03-0705:56:37,Buy,USDT Wallet,Market,JUP,0.6853,4361.0,1.80 ,0.00 ,2988.59 
2024-03-0705:56:37,Buy,USDT Wallet,Market,JUP,0.6851,348.0,0.15 ,0.00 ,238.41 
2024-03-0705:56:11,Buy,USDT Wallet,Market,RUNE,5.992,834.0,3.00 ,0.00 ,4997.32 
2024-03-0623:25:54,Buy,USDT Wallet,Market,ARB,2.0752,1204.7,1.50 ,0.00 ,2499.99 
2024-03-0623:24:42,Buy,USDT Wallet,Market,ARB,2.0711,1207.0,1.50 ,0.00 ,2499.81 
2024-03-0623:19:46,Sell,USDT Wallet,Market,ARB,2.0729,1236.5,1.54 ,60.23 ,2563.14 
2024-03-0621:55:36,Sell,USDT Wallet,Market,ARB,2.0849,3703.1,4.64 ,224.81 ,7720.59 
2024-03-0621:54:15,Sell,USDT Wallet,Market,APE,2.194,1202.7,1.59 ,142.98 ,2638.72 
2024-03-0615:11:42,Buy,USDT Wallet,Market,SEI,0.7506,1061.0,0.48 ,0.00 ,796.38 
2024-03-0615:11:42,Buy,USDT Wallet,Market,SEI,0.7502,745.0,0.34 ,0.00 ,558.89 
2024-03-0615:11:42,Buy,USDT Wallet,Market,SEI,0.7500,860.0,0.39 ,0.00 ,645.00 
2024-03-0612:27:13,Sell,USDT Wallet,Market,DYDX,3.954,631.3,1.50 ,118.05 ,2496.16 
